scan_date,ticker,price,market_cap,float_shares,rel_volume,dollar_volume,vol_expansion_score,compression_score,breakout_score,trend_score,news_score,short_interest_score,premarket_gap_score,social_score,insider_score,total_score,reason,repeat_count_30d
2026-03-12,FTK,18.16,545850048,13956987.0,2.15,10004652.64,3.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,16.98,"unusual volume, multi-day volume expansion, near breakout, trend improving, elevated news flow, short squeeze potential",1
2026-03-12,CHAC,10.3,308671360,18519324.0,4.69,20801045.13,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.23,"unusual volume, multi-day volume expansion, tight consolidation, elevated news flow",1
2026-03-12,BMBL,3.82,606389248,68367169.0,7.85,104994134.94,3.0,0.0,0.0,2.0,2.0,1.5,2.0,0.0,0.0,15.5,"unusual volume, multi-day volume expansion, trend improving, elevated news flow, short squeeze potential, gap strength",1
2026-03-12,EH,12.57,904849600,106409110.0,2.53,14066282.18,3.0,0.0,2.0,1.0,2.0,1.5,1.0,0.0,0.0,13.54,"unusual volume, multi-day volume expansion, near breakout, elevated news flow, short squeeze potential, gap strength",1
2026-03-12,AGRO,10.39,1469829120,19962240.0,2.94,24979670.0,1.31,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,13.49,"unusual volume, near breakout, trend improving, elevated news flow",1
2026-03-12,ALH,19.54,3963238400,45311242.0,3.97,37010403.09,3.0,0.0,0.0,1.0,1.0,1.5,0.0,0.0,0.0,12.46,"unusual volume, multi-day volume expansion, elevated news flow, short squeeze potential",1
2026-03-12,BLDP,2.51,755034496,300483028.0,3.14,21579619.55,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,11.57,"unusual volume, multi-day volume expansion, trend improving, elevated news flow, short squeeze potential",1
2026-03-12,ENGN,7.52,503760768,26439402.0,3.36,10842531.49,2.8,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,"unusual volume, multi-day volume expansion, elevated news flow, short squeeze potential",1
2026-03-12,ACDC,7.29,1318550912,32797372.0,1.62,15422658.31,2.19,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,10.57,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential",1
2026-03-12,ASTL,3.79,397699104,73585822.0,1.9,10377296.57,2.3,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.43,"multi-day volume expansion, elevated news flow",1
2026-03-12,CION,7.02,365644160,,1.63,6297931.23,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.15,"multi-day volume expansion, elevated news flow",1
2026-03-12,AERO,14.16,2066721792,198606000.0,1.73,12877939.74,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.68,elevated news flow,1
2026-03-12,CHAC,10.29,308425600,18519324.0,4.73,20954761.72,3.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,18.27,"unusual volume, multi-day volume expansion, tight consolidation, elevated news flow",2
2026-03-12,FTK,18.31,550358720,13956987.0,2.56,11995320.09,3.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,17.07,"unusual volume, multi-day volume expansion, near breakout, trend improving, elevated news flow, short squeeze potential",2
2026-03-12,ALH,19.82,4019015680,45311242.0,4.5,42506247.47,3.0,0.0,0.0,1.0,3.0,1.5,0.0,0.0,0.0,15.1,"unusual volume, multi-day volume expansion, elevated news flow, short squeeze potential",2
2026-03-12,AGRO,10.44,1477142912,19962240.0,3.02,25838091.02,1.42,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,14.93,"unusual volume, near breakout, trend improving, elevated news flow",2
