scan_time_utc,ticker,price,market_score,event_score,alignment_bonus,final_score,confidence_label,event_bias,signal_count,days_since_latest_event,event_tags,market_reason,event_reason,merged_reason,market_cap,float_shares,rel_volume,news_score,short_interest_score,compression_score,breakout_score,trend_score,premarket_gap_score,repeat_count_30d,company_name,sec_insider_score,congressional_score,procurement_score,ownership_score,base_weighted_score
2026-03-15T18:57:52Z,AVO,12.15,14.8,0.0,0.0,11.1,Technical First,Neutral,,,,"unusual volume, multi-day volume expansion, elevated news flow, short squeeze potential",,"unusual volume, multi-day volume expansion, elevated news flow, short squeeze potential; nan",860783360,40103025.0,5.09,3.0,1.0,0.0,0.0,1.0,0.0,1,,,,,,11.100000000000001
2026-03-15T18:57:52Z,ABX,9.8,14.56,0.0,0.0,10.92,Technical First,Neutral,,,,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential",,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential; nan",957977984,43884579.0,1.8,3.0,3.0,0.0,0.0,3.0,0.0,1,,,,,,10.92
2026-03-15T18:57:52Z,FTK,17.68,13.47,0.0,0.0,10.1,Technical First,Neutral,,,,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential",,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential; nan",531422336,14029568.0,1.89,1.0,2.0,0.0,1.0,2.0,0.0,1,,,,,,10.102500000000001
2026-03-15T18:57:52Z,BGC,9.57,13.11,0.0,0.0,9.83,Technical First,Neutral,,,,"unusual volume, multi-day volume expansion, trend improving, elevated news flow",,"unusual volume, multi-day volume expansion, trend improving, elevated news flow; nan",4538687488,361918846.0,2.09,3.0,0.0,1.0,1.0,3.0,0.0,1,,,,,,9.8325
2026-03-15T18:57:52Z,ALH,19.75,12.66,0.0,0.0,9.5,Technical First,Neutral,,,,"unusual volume, multi-day volume expansion, elevated news flow, short squeeze potential",,"unusual volume, multi-day volume expansion, elevated news flow, short squeeze potential; nan",4005831936,45442270.0,2.8,3.0,1.5,0.0,0.0,1.0,0.0,1,,,,,,9.495000000000001
2026-03-15T18:57:52Z,ACDC,6.35,12.31,0.0,0.0,9.23,Technical First,Neutral,,,,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential",,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential; nan",1148531968,32661624.0,1.93,2.5,1.0,0.0,0.0,3.0,0.0,1,,,,,,9.2325
2026-03-15T18:57:52Z,BW,10.51,10.59,0.0,0.0,7.94,Technical First,Neutral,,,,"unusual volume, multi-day volume expansion, trend improving, elevated news flow",,"unusual volume, multi-day volume expansion, trend improving, elevated news flow; nan",1370998016,93418315.0,2.49,3.0,0.0,0.0,0.0,2.0,0.0,1,,,,,,7.9425
2026-03-15T18:57:52Z,EH,11.85,10.18,0.0,0.0,7.64,Technical First,Neutral,,,,"unusual volume, multi-day volume expansion, elevated news flow, short squeeze potential",,"unusual volume, multi-day volume expansion, elevated news flow, short squeeze potential; nan",853020544,106927501.0,2.23,3.0,1.5,0.0,0.0,0.0,0.0,1,,,,,,7.635
2026-03-15T18:57:52Z,BMBL,3.77,9.9,0.0,0.0,7.43,Low Conviction,Neutral,,,,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential",,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential; nan",599236544,68367169.0,2.0,1.0,1.5,0.0,0.0,2.0,0.0,1,,,,,,7.425000000000001
2026-03-15T18:57:52Z,GAU,2.56,9.81,0.0,0.0,7.36,Low Conviction,Neutral,,,,"unusual volume, multi-day volume expansion, elevated news flow",,"unusual volume, multi-day volume expansion, elevated news flow; nan",665063488,244836899.0,2.5,3.0,0.0,0.0,0.0,1.0,0.0,1,,,,,,7.3575
2026-03-15T18:57:52Z,AERO,13.43,9.51,0.0,0.0,7.13,Low Conviction,Neutral,,,,"unusual volume, multi-day volume expansion, elevated news flow",,"unusual volume, multi-day volume expansion, elevated news flow; nan",1959482752,198606000.0,2.92,3.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,7.1325
2026-03-15T18:57:52Z,FWRD,15.8,9.4,0.0,0.0,7.05,Low Conviction,Neutral,,,,"multi-day volume expansion, elevated news flow, short squeeze potential",,"multi-day volume expansion, elevated news flow, short squeeze potential; nan",493722112,22694444.0,1.67,1.0,2.0,0.0,0.0,0.0,0.0,1,,,,,,7.050000000000001
2026-03-15T18:57:52Z,ALOY,11.98,8.8,0.0,0.0,6.6,Low Conviction,Neutral,,,,"unusual volume, multi-day volume expansion, elevated news flow",,"unusual volume, multi-day volume expansion, elevated news flow; nan",684477312,53935198.0,2.46,3.0,0.0,0.0,0.0,1.0,0.0,1,,,,,,6.6000000000000005
2026-03-15T18:57:52Z,AUR,4.08,8.67,0.0,0.0,6.5,Low Conviction,Neutral,,,,"multi-day volume expansion, elevated news flow, short squeeze potential",,"multi-day volume expansion, elevated news flow, short squeeze potential; nan",7951157760,1247259963.0,1.84,3.0,1.0,0.0,0.0,1.0,0.0,1,,,,,,6.5024999999999995
